model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-flusion__gbq_qr__sarix,0,1,12.3,0.695,18.7,0.777,0.553,0.952,0.01498422712933754,0.02050473186119874,0.02444794952681388,0.05362776025236593,0.10173501577287067,0.14511041009463724,0.1971608832807571,0.25946372239747634,0.3138801261829653,0.36908517350157727,0.42586750788643535,0.4802839116719243,0.5528391167192429,0.6009463722397477,0.6474763406940063,0.7011041009463722,0.75,0.7973186119873817,0.8501577287066246,0.9014195583596214,0.9400630914826499,0.9637223974763407,0.9889589905362776
UMass-gbq_qr,0,1,12.4,0.706,18.4,0.766,0.543,0.944,0.014195583596214511,0.025236593059936908,0.03391167192429022,0.07255520504731862,0.11908517350157728,0.16798107255520506,0.23264984227129337,0.2981072555205047,0.36198738170347006,0.42113564668769715,0.4747634069400631,0.526813880126183,0.5788643533123028,0.6490536277602523,0.6971608832807571,0.7405362776025236,0.7760252365930599,0.8186119873817035,0.860410094637224,0.8990536277602523,0.9266561514195584,0.9605678233438486,0.9873817034700315
UMass-gbq_qr_no_level,0,1,12.6,0.714,19,0.788,0.531,0.941,0.021293375394321766,0.03706624605678233,0.07176656151419558,0.11514195583596215,0.15772870662460567,0.20504731861198738,0.2539432176656151,0.31230283911671924,0.3627760252365931,0.4140378548895899,0.4755520504731861,0.5354889589905363,0.6064668769716088,0.6490536277602523,0.6963722397476341,0.751577287066246,0.7847003154574133,0.8296529968454258,0.8659305993690851,0.9053627760252366,0.9369085173501577,0.9700315457413249,0.9936908517350158
UMass-flusion__gbq_qr_no_level__sarix,0,1,12.7,0.721,19.6,0.812,0.525,0.955,0.018138801261829655,0.02444794952681388,0.03943217665615142,0.07728706624605679,0.11987381703470032,0.16640378548895898,0.2200315457413249,0.26419558359621453,0.3194006309148265,0.3675078864353312,0.4282334384858044,0.48974763406940064,0.5481072555205048,0.5930599369085173,0.6482649842271293,0.695583596214511,0.7452681388012619,0.7988958990536278,0.8541009463722398,0.8903785488958991,0.9361198738170347,0.9716088328075709,0.9889589905362776
UMass-sarix,3,1,41.4,0.75,63.5,0.803,0.5,0.927,0.007123775601068566,0.01068566340160285,0.017809439002671415,0.03561887800534283,0.06322350845948353,0.09349955476402494,0.13268032056990206,0.176313446126447,0.22617987533392697,0.26714158504007124,0.3285841495992876,0.3784505788067676,0.43365983971504896,0.4924309884238646,0.5325022261798753,0.5743544078361532,0.6295636687444346,0.6945681211041852,0.7586821015138023,0.8227960819234195,0.8922528940338379,0.9323241317898486,0.9634906500445236
UMass-sarix,2,1,33.7,0.765,51.9,0.834,0.511,0.937,0.011073253833049404,0.014480408858603067,0.026405451448040886,0.05706984667802385,0.09454855195911414,0.13202725724020442,0.1686541737649063,0.21294718909710392,0.24787052810902896,0.2879045996592845,0.3390119250425894,0.39267461669505965,0.4403747870528109,0.49659284497444633,0.5562180579216355,0.616695059625213,0.6746166950596252,0.721465076660988,0.7632027257240205,0.8347529812606473,0.8977853492333902,0.9437819420783645,0.9735945485519591
UMass-sarix,1,1,24.7,0.79,37.6,0.869,0.526,0.934,0.014754098360655738,0.019672131147540985,0.03360655737704918,0.06967213114754098,0.1,0.13114754098360656,0.17049180327868851,0.2155737704918033,0.26721311475409837,0.3188524590163934,0.3704918032786885,0.4180327868852459,0.47622950819672133,0.5319672131147541,0.578688524590164,0.6360655737704918,0.6901639344262295,0.7377049180327869,0.8008196721311476,0.8532786885245902,0.909016393442623,0.9450819672131148,0.9680327868852459
UMass-sarix,0,1,14.2,0.808,22.1,0.918,0.495,0.938,0.018138801261829655,0.026025236593059938,0.03785488958990536,0.07649842271293375,0.10883280757097792,0.15220820189274448,0.19479495268138802,0.2334384858044164,0.2823343848580442,0.3304416403785489,0.38485804416403785,0.43375394321766564,0.48186119873817035,0.527602523659306,0.5749211356466877,0.6340694006309149,0.6813880126182965,0.7389589905362776,0.7988958990536278,0.8572555205047319,0.917192429022082,0.9518927444794952,0.9739747634069401
FluSight-baseline,0,1,17.6,1,24.1,1,0.302,0.931,0.02050473186119874,0.03627760252365931,0.08517350157728706,0.21056782334384858,0.29652996845425866,0.3438485804416404,0.37381703470031546,0.4085173501577287,0.4384858044164038,0.46529968454258674,0.48501577287066244,0.499211356466877,0.5149842271293376,0.5465299684542587,0.5780757097791798,0.6080441640378549,0.6498422712933754,0.6837539432176656,0.723186119873817,0.7886435331230284,0.8998422712933754,0.9550473186119873,0.9810725552050473
FluSight-baseline,1,1,31.3,1,43.3,1,0.317,0.919,0.02540983606557377,0.03934426229508197,0.06721311475409836,0.16475409836065574,0.24918032786885247,0.3114754098360656,0.35737704918032787,0.38278688524590165,0.4131147540983607,0.4426229508196721,0.4721311475409836,0.510655737704918,0.5336065573770492,0.5631147540983606,0.5852459016393443,0.6188524590163934,0.6581967213114754,0.7016393442622951,0.7434426229508196,0.8073770491803278,0.9016393442622951,0.9491803278688524,0.9672131147540983
FluSight-baseline,2,1,44.1,1,62.1,1,0.306,0.885,0.028960817717206135,0.049403747870528106,0.07751277683134583,0.15928449744463374,0.23594548551959113,0.3049403747870528,0.348381601362862,0.3798977853492334,0.4028960817717206,0.42674616695059625,0.4497444633730835,0.4778534923339012,0.520442930153322,0.5494037478705281,0.5817717206132879,0.6073253833049403,0.6422487223168655,0.6771720613287905,0.7248722316865417,0.7964224872231687,0.893526405451448,0.9267461669505963,0.948892674616695
FluSight-baseline,3,1,55.3,1,79,1,0.308,0.874,0.030276046304541407,0.04719501335707925,0.08103294746215495,0.14781834372217276,0.21371326803205698,0.28138913624220835,0.3321460373998219,0.37666963490650046,0.402493321460374,0.4238646482635797,0.4452359750667854,0.4666073018699911,0.4870881567230632,0.5155832591273375,0.5574354407836153,0.597506678539626,0.6295636687444346,0.6642920747996438,0.7212822796081924,0.786286731967943,0.8726625111308994,0.9154051647373108,0.9332146037399822
